Epoch 96:   train/loss: 0.1306   valid/loss: 0.8488   train/acc: 0.6674   valid/acc: 0.6346
Epoch 97:   train/loss: 0.4104   valid/loss: 0.8318   train/acc: 0.7066   valid/acc: 0.6346
Epoch 98:   train/loss: 0.2801   valid/loss: 0.8522   train/acc: 0.6777   valid/acc: 0.6538
Epoch 99:   train/loss: 1.1555   valid/loss: 0.8324   train/acc: 0.7128   valid/acc: 0.5962
Epoch 100:  train/loss: 0.2369   valid/loss: 0.8259   train/acc: 0.7376   valid/acc: 0.6346
Epoch 101:  train/loss: 0.9091   valid/loss: 0.8365   train/acc: 0.6777   valid/acc: 0.6154
Epoch 102:  train/loss: 0.8895   valid/loss: 0.7732   train/acc: 0.7087   valid/acc: 0.5769
Epoch 103:  train/loss: 1.3430   valid/loss: 0.8454   train/acc: 0.7335   valid/acc: 0.5769
Epoch 104:  train/loss: 1.2092   valid/loss: 0.8018   train/acc: 0.7335   valid/acc: 0.6154
Epoch 105:  train/loss: 0.3076   valid/loss: 0.7778   train/acc: 0.6529   valid/acc: 0.6154
Epoch 106:  train/loss: 0.6877   valid/loss: 0.8161   train/acc: 0.6426   valid/acc: 0.6154
Epoch 107:  train/loss: 0.2095   valid/loss: 0.7847   train/acc: 0.6756   valid/acc: 0.6154
Epoch 108:  train/loss: 1.1430   valid/loss: 0.7890   train/acc: 0.6591   valid/acc: 0.6346
Epoch 109:  train/loss: 1.9869   valid/loss: 0.7602   train/acc: 0.6901   valid/acc: 0.6538
Epoch 110:  train/loss: 0.6047   valid/loss: 0.7321   train/acc: 0.6777   valid/acc: 0.6346
Epoch 111:  train/loss: 0.6739   valid/loss: 0.7707   train/acc: 0.7169   valid/acc: 0.6346
Epoch 112:  train/loss: 1.1985   valid/loss: 0.8148   train/acc: 0.6653   valid/acc: 0.5769
Epoch 113:  train/loss: 1.7079   valid/loss: 0.8199   train/acc: 0.6612   valid/acc: 0.5769
Epoch 114:  train/loss: 0.6636   valid/loss: 0.7853   train/acc: 0.6612   valid/acc: 0.5385
Epoch 115:  train/loss: 0.7839   valid/loss: 0.8047   train/acc: 0.6860   valid/acc: 0.5385
Epoch 116:  train/loss: 0.1233   valid/loss: 0.7821   train/acc: 0.6653   valid/acc: 0.5385
Epoch 117:  train/loss: 0.3036   valid/loss: 0.7662   train/acc: 0.7025   valid/acc: 0.5385
Epoch 118:  train/loss: 0.0707   valid/loss: 0.7947   train/acc: 0.6653   valid/acc: 0.5577
Epoch 119:  train/loss: 1.1745   valid/loss: 0.8045   train/acc: 0.7149   valid/acc: 0.5385
Epoch 120:  train/loss: 0.4382   valid/loss: 0.7935   train/acc: 0.7025   valid/acc: 0.5577
Epoch 121:  train/loss: 0.5845   valid/loss: 0.7764   train/acc: 0.6860   valid/acc: 0.5769
Epoch 122:  train/loss: 0.8342   valid/loss: 0.7547   train/acc: 0.7231   valid/acc: 0.5577
Epoch 123:  train/loss: 0.3470   valid/loss: 0.7698   train/acc: 0.6983   valid/acc: 0.5577
Epoch 124:  train/loss: 0.0927   valid/loss: 0.7259   train/acc: 0.6942   valid/acc: 0.5577
Epoch 125:  train/loss: 0.4245   valid/loss: 0.7255   train/acc: 0.6736   valid/acc: 0.5577
Epoch 126:  train/loss: 0.5105   valid/loss: 0.7450   train/acc: 0.7149   valid/acc: 0.5962
Epoch 127:  train/loss: 0.1872   valid/loss: 0.7393   train/acc: 0.6818   valid/acc: 0.5769
Epoch 128:  train/loss: 0.1302   valid/loss: 0.7519   train/acc: 0.7128   valid/acc: 0.5385
Epoch 129:  train/loss: 0.7826   valid/loss: 0.7092   train/acc: 0.6901   valid/acc: 0.5962
