Epoch 143:  train/loss: 0.7624   valid/loss: 0.7073   train/acc: 0.7025   valid/acc: 0.6154
Epoch 144:  train/loss: 0.2472   valid/loss: 0.6992   train/acc: 0.7025   valid/acc: 0.6538
Epoch 145:  train/loss: 0.7814   valid/loss: 0.7214   train/acc: 0.6901   valid/acc: 0.6731
Epoch 146:  train/loss: 0.8932   valid/loss: 0.7303   train/acc: 0.7107   valid/acc: 0.6731
Epoch 147:  train/loss: 0.1611   valid/loss: 0.7276   train/acc: 0.6983   valid/acc: 0.6731
Epoch 148:  train/loss: 0.4280   valid/loss: 0.7387   train/acc: 0.6942   valid/acc: 0.6731
Epoch 149:  train/loss: 0.3174   valid/loss: 0.7364   train/acc: 0.6736   valid/acc: 0.6731
Epoch 150:  train/loss: 0.2524   valid/loss: 0.7394   train/acc: 0.7314   valid/acc: 0.6731
Epoch 151:  train/loss: 0.5890   valid/loss: 0.7596   train/acc: 0.6777   valid/acc: 0.6731
Epoch 152:  train/loss: 1.4579   valid/loss: 0.7321   train/acc: 0.7087   valid/acc: 0.7115
Epoch 153:  train/loss: 0.5624   valid/loss: 0.7450   train/acc: 0.6529   valid/acc: 0.6923
Epoch 154:  train/loss: 0.3351   valid/loss: 0.7149   train/acc: 0.7107   valid/acc: 0.6923
Epoch 155:  train/loss: 0.7793   valid/loss: 0.7035   train/acc: 0.7149   valid/acc: 0.6923
Epoch 156:  train/loss: 0.7727   valid/loss: 0.6651   train/acc: 0.6860   valid/acc: 0.7115
Epoch 157:  train/loss: 0.3353   valid/loss: 0.6647   train/acc: 0.6860   valid/acc: 0.7115
Epoch 158:  train/loss: 0.6471   valid/loss: 0.6746   train/acc: 0.7045   valid/acc: 0.7308
Epoch 159:  train/loss: 0.1684   valid/loss: 0.6663   train/acc: 0.6736   valid/acc: 0.7115
Epoch 160:  train/loss: 1.3403   valid/loss: 0.6637   train/acc: 0.7190   valid/acc: 0.6923
Epoch 161:  train/loss: 1.3085   valid/loss: 0.6597   train/acc: 0.7107   valid/acc: 0.7115
Epoch 162:  train/loss: 1.1782   valid/loss: 0.6603   train/acc: 0.6860   valid/acc: 0.7115
Epoch 163:  train/loss: 0.5493   valid/loss: 0.6507   train/acc: 0.7087   valid/acc: 0.7115
Epoch 164:  train/loss: 1.1372   valid/loss: 0.6434   train/acc: 0.6570   valid/acc: 0.6923
Epoch 165:  train/loss: 0.9003   valid/loss: 0.6443   train/acc: 0.7355   valid/acc: 0.6923
Epoch 166:  train/loss: 1.4260   valid/loss: 0.6433   train/acc: 0.6818   valid/acc: 0.6923
Epoch 167:  train/loss: 0.8274   valid/loss: 0.6415   train/acc: 0.7025   valid/acc: 0.6923
Epoch 168:  train/loss: 0.4245   valid/loss: 0.6366   train/acc: 0.7025   valid/acc: 0.6923
Epoch 169:  train/loss: 0.2769   valid/loss: 0.6306   train/acc: 0.7438   valid/acc: 0.7308
Epoch 170:  train/loss: 0.1616   valid/loss: 0.6378   train/acc: 0.7128   valid/acc: 0.6923
Epoch 171:  train/loss: 0.4511   valid/loss: 0.6334   train/acc: 0.6860   valid/acc: 0.7308
Epoch 172:  train/loss: 1.0093   valid/loss: 0.6316   train/acc: 0.6777   valid/acc: 0.7308
